epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.8054,2.32516,3.68589,2.06223,0.00287,0.86111,0.03774,0.00758,2.09271,4.39519,2.3337,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016,0.00048,0.00016
2,55.543,2.11353,3.78734,1.94964,0.00296,0.88889,0.04837,0.01169,1.94618,4.35836,2.18263,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268,0.000999804,0.000333268
3,67.1283,1.90631,3.65507,1.72272,0.00315,0.94444,0.12061,0.0356,1.82822,4.35332,2.03417,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408,0.00149822,0.000499408
4,78.8556,1.71249,3.41272,1.54684,0.00315,0.94444,0.18553,0.05492,1.70446,4.10781,1.88054,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842,0.00197526,0.00065842
5,89.8994,1.4503,3.1988,1.33018,0.00333,1,0.37825,0.1971,1.38873,3.898,1.61819,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304,0.00243091,0.000810304
6,101.229,1.28626,3.00464,1.23272,0.00333,1,0.8528,0.48351,1.22539,3.54501,1.41969,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506,0.00286518,0.00095506
7,112.277,1.32055,2.70526,1.21319,0.00333,1,0.95368,0.57197,1.18965,3.21689,1.18349,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269,0.00327806,0.00109269
8,122.908,1.12481,2.42089,1.11552,1,0.49098,0.96099,0.61866,1.13449,2.86276,1.0758,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319,0.00366956,0.00122319
9,133.628,1.19163,2.04508,1.13999,0.91351,0.86111,0.97202,0.65216,1.07718,2.41802,1.04696,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656,0.00403968,0.00134656
10,146.291,1.09832,1.80507,1.07868,0.96845,0.97222,0.98661,0.67883,1.10422,2.02925,1.04091,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628,0.00438841,0.0014628
11,157.832,1.06881,1.56585,1.0565,0.94697,0.99219,0.98608,0.69041,1.0108,1.71492,0.99338,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192,0.00471576,0.00157192
12,169.449,1.02432,1.49381,1.00396,1,0.96729,0.99446,0.70284,1.0958,1.50534,1.01649,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,181.661,1.04399,1.44962,1.01985,0.99516,0.97222,0.99446,0.69822,1.09524,1.59355,1.02221,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,195.49,0.9965,1.33266,1.00868,0.99872,1,0.995,0.72537,0.99955,1.52395,1.00723,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,210.234,0.96774,1.31399,1.01099,0.9976,1,0.995,0.75817,0.87239,1.40259,0.96106,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,225.208,0.92556,1.32952,0.98322,0.99788,1,0.995,0.7564,0.89077,1.30849,0.95244,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,239.446,0.96427,1.36747,1.0053,0.99816,1,0.995,0.77895,0.9018,1.24057,0.949,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,253.303,0.92315,1.24973,0.98601,0.9982,1,0.995,0.78213,0.89624,1.19347,0.92777,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,265.455,0.91918,1.23517,0.98895,0.99821,1,0.995,0.80301,0.84226,1.16374,0.91371,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,276.331,0.90331,1.23671,0.97221,0.99834,1,0.995,0.80217,0.77194,1.12777,0.91598,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,287.61,0.78901,1.13015,0.93164,0.9983,1,0.995,0.80698,0.73876,1.1047,0.9089,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,297.851,0.8612,1.16307,0.96838,0.99858,1,0.995,0.81023,0.76219,1.11239,0.9123,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
23,308.292,0.85766,1.13808,0.95254,0.99968,1,0.995,0.78919,0.82188,1.13932,0.91288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
24,318.756,0.81535,1.07798,0.96087,0.99955,1,0.995,0.79852,0.79205,1.11864,0.91172,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
25,329.16,0.8249,1.05328,0.93432,0.99849,1,0.995,0.77916,0.82133,1.14495,0.93831,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
26,339.968,0.88775,1.09516,0.96166,0.99918,1,0.995,0.79397,0.85326,1.13113,0.94016,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
27,350.861,0.82824,1.04168,0.96758,0.99835,1,0.995,0.7911,0.83554,1.09068,0.91594,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
28,362.102,0.82199,1.0363,0.95579,0.99827,1,0.995,0.7829,0.80433,1.04762,0.92055,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
29,373.942,0.80707,0.9767,0.94328,0.99821,1,0.995,0.78462,0.80642,1.02532,0.9313,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
30,385.107,0.78121,0.90295,0.93918,0.99827,1,0.995,0.79426,0.80581,1.0264,0.92754,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
31,395.827,0.80439,0.95157,0.95268,0.9983,1,0.995,0.7934,0.75124,1.01129,0.89948,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
32,406.633,0.79265,0.96254,0.94729,0.99841,1,0.995,0.82059,0.72638,0.98122,0.88774,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
33,417.527,0.74402,0.90277,0.9292,0.99842,1,0.995,0.82244,0.72887,0.95346,0.88652,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
34,428.535,0.75973,0.91209,0.9389,0.99842,1,0.995,0.83051,0.70368,0.94122,0.88305,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
35,439.598,0.74981,0.90422,0.94625,0.99833,1,0.995,0.81934,0.70048,0.94034,0.88372,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
36,450.938,0.76654,0.90483,0.92482,0.99836,1,0.995,0.82725,0.6736,0.9234,0.87043,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
37,461.796,0.76306,0.90057,0.94967,0.99839,1,0.995,0.82366,0.68985,0.91614,0.87487,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
38,473.066,0.78147,0.88402,0.93307,0.9984,1,0.995,0.82157,0.70566,0.90886,0.88184,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
39,484.411,0.79172,0.93489,0.94089,0.99835,1,0.995,0.82304,0.70351,0.90587,0.8847,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
40,495.966,0.74858,0.84856,0.92115,0.99829,1,0.995,0.81452,0.70467,0.90479,0.89114,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
41,506.892,0.68263,1.01701,0.93651,0.99826,1,0.995,0.80946,0.72623,0.90803,0.89683,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
42,517.757,0.65999,0.96048,0.90318,0.99834,1,0.995,0.80288,0.74569,0.92834,0.90337,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
43,528.518,0.69171,1.00161,0.94856,0.99839,1,0.995,0.79177,0.76147,0.9437,0.9107,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
44,539.839,0.65453,0.96733,0.91447,0.99839,1,0.995,0.80075,0.7665,0.9458,0.90214,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
45,551.101,0.66221,0.94955,0.92606,0.99833,1,0.995,0.80823,0.76187,0.94689,0.89973,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
46,561.707,0.64376,0.9416,0.89343,0.99828,1,0.995,0.80754,0.76942,0.94472,0.90343,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
47,572.421,0.64469,0.92499,0.92461,0.99832,1,0.995,0.81716,0.7735,0.94315,0.90337,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
48,583.76,0.65245,0.95424,0.91406,0.99834,1,0.995,0.82136,0.75148,0.93249,0.89711,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
49,595.61,0.60984,0.92816,0.90682,0.99832,1,0.995,0.81987,0.74446,0.93145,0.89726,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
50,607.278,0.6337,0.92803,0.89883,0.99831,1,0.995,0.8206,0.73721,0.92109,0.89816,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
